|Store Name|Price Date|Item Price
0|Amazon|2018-08-03|0.0
1|Amazon|2018-09-03|0.0
2|Amazon|2018-12-03|179.99
3|Amazon|2018-03-13|209.99
4|Amazon|2018-03-14|209.99
5|Amazon|2018-03-15|209.99
6|Amazon|2018-03-17|209.99
7|Amazon|2018-03-18|209.99
8|Amazon|2018-03-19|209.99
9|Target|2018-08-03|239.99
10|Target|2018-09-03|239.99
11|Target|2018-12-03|234.99
12|Target|2018-03-13|234.99
13|Target|2018-03-14|234.99
14|Target|2018-03-15|234.99
15|Target|2018-03-17|234.99
16|Target|2018-03-18|234.99
17|Target|2018-03-19|234.99
18|Toys r Us|2018-08-03|179.99
19|Toys r Us|2018-09-03|179.99
20|Toys r Us|2018-12-03|179.99
21|Toys r Us|2018-03-13|179.99
22|Toys r Us|2018-03-14|179.99
23|Toys r Us|2018-03-15|179.99
24|Toys r Us|2018-03-17|234.99
25|Toys r Us|2018-03-18|234.99
26|Toys r Us|2018-03-19|234.99
27|Walmart|2018-08-03|234.99
28|Walmart|2018-09-03|234.99
29|Walmart|2018-12-03|179.99
30|Walmart|2018-03-13|179.99
31|Walmart|2018-03-14|179.99
32|Walmart|2018-03-15|234.99
33|Walmart|2018-03-17|234.99
34|Walmart|2018-03-18|234.99
35|Walmart|2018-03-19|234.99
